round,mlogloss
0,1.3359352801297162
1,1.0736405978331696
2,0.8939390971853927
3,0.765502262759853
4,0.6636601106540577
5,0.5794844305193102
6,0.5162677410486582
7,0.46651628532925166
8,0.42564399822338206
9,0.3924977114877185
10,0.36860907440249985
11,0.3490381706002596
12,0.3211257890672297
13,0.30379309867684906
14,0.2850111102735674
15,0.27262570618374926
16,0.25955193952934164
17,0.25051080264352465
18,0.24184942084389763
19,0.2304495957151458
20,0.22412760007018978
21,0.21497048296638438
22,0.21276473178452737
23,0.20940259773586248
24,0.2024224758198535
25,0.19858495735034748
26,0.19825804840169242
27,0.19264321655941172
28,0.18859812327836817
29,0.18599927395179466
30,0.1840328572922059
31,0.18147962223235015
32,0.17827350428529284
33,0.17773089635915854
34,0.17374299759850712
35,0.1712834938882372
36,0.16737029271049275
37,0.16739711006222344
38,0.16226209455320761
39,0.1605929527620508
40,0.15731137297493783
41,0.15528488859559433
42,0.15192911398244668
43,0.14908162831026758
44,0.14865982526208502
45,0.14639128789280517
46,0.14438289140879706
47,0.14212911825224356
48,0.14104825079541755
49,0.13921577482786332
